店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500717,山东甘一文化科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500724,陕西智优文化传媒有限公司,0,0,48,756,199,156,81,59,66,81,68,96,0,70,62,104,56,71,254,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800053,大连理工大学出版社有限公司,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500722,江苏华阅万卷教育科技有限公司,0,0,319,0,1147,0,0,0,0,0,0,0,0,4,5,552,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500698,武汉智云优鸿科技有限公司,0,0,2278,150,159,71,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500709,山东普高文化教育有限公司,0,126,0,10,0,0,0,0,10,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500696,山东面向未来图书销售有限公司,100,1080,878,731,490,617,0,369,570,1257,1069,1249,653,462,586,1527,896,370,55,47,188,122,842,1085,28,0,329,506,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800011,宁波出版社有限公司,105,81,114,98,436,0,324,0,0,0,0,0,0,439,62,93,530,131,41,107,161,224,188,125,2,0,0,397,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900000,长安学林文具用品经销部,0,0,0,0,101,32,90,69,40,74,0,92,132,91,0,2,0,144,129,53,50,0,0,100,128,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500109,时代京版（北京）文化传播有限公司,239,137,40,20,6,0,0,0,0,265,506,487,108,2,145,221,154,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500243,众相原创文化传播陕西有限公司,798,918,547,62,0,78,322,422,535,519,1555,1521,1882,3403,1966,1006,984,555,461,502,525,557,549,2425,1097,2227,8434,1070,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500546,众望益飞教育科技（北京）有限公司,1012,1223,1122,2772,1113,445,426,757,765,862,1116,659,226,268,2519,986,596,0,0,925,1392,1505,1679,1762,222,1241,1141,899,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500547,广州星达数码科技有限公司,8,0,13,161,11,11,10,19,1,173,11,2,0,4,46,8,16,0,16,0,6,0,13,4,0,0,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500089,洛阳字里行间文化传播有限公司,659,0,812,530,535,118,0,0,164,160,164,224,0,0,0,0,0,0,0,0,45,424,246,260,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500170,山东一得文化科技有限公司,10,0,0,64,0,10,36,0,0,10,10,0,10,0,11,0,36,17,0,9,27,47,0,40,11,18,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500121,浙江金睿文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
