店铺ID,店铺名称,销售,收入,创建,发布
500379,南京经纶文化传媒有限公司,3729.4,2610.58,0,112
500409,湖北世纪国华文化传播有限公司,7201.3,5040.91,6,121
500343,山东佰鸿壹铭教育科技有限公司,2264,1584.8,0,0
500370,江西铭文文化发展有限公司,4067.3,2847.11,9,338
500490,《数理报》社有限公司,7440.7,3720.35,25,278
500304,洛阳九歌文化传播有限公司,8765.66,6135.96,102,1066
500649,梁山启智教育图书有限公司,1883.5,1318.45,0,123
500365,天津市恒真文化发展有限公司,1003.7,702.59,7,218
500526,山东先德睿图书有限公司,456.9,319.83,0,0
500317,湖北稳派教育科技有限公司,592,414.4,5,66
500363,合肥皖智教育科技集团有限公司,1266.3,886.4,0,0
500327,河南清北之道教育研究院有限公司,114.6,80.22,0,0
500454,湖北金色花开文化有限公司,125.7,87.99,0,0
500300,山东名师文化传媒有限公司,160.6,112.42,0,0
500334,山西唐文文化发展有限公司,577.75,404.4,0,0
500390,河北优盛文化传播有限公司,74.2,51.94,0,0
500332,北京金海豚教育科技有限公司,7,4.9,0,0
