店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500779,河南王瑞教育科技有限公司,0,0,0,0,0,0,0,0,325.5,1205.04,77.98,102.9,184.8,91.35,166.69,1183.21,1471.99,644.21,75.88,11.2,20.16,16.1,32.06,33.88,30.1,87.92,54.6,66.5,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500772,重庆大学电子音像出版社有限公司,0,0,0,0,0,0,0,171.2,451.4,3655.6,185.8,105.1,87.7,111.1,92.9,63.7,2721.55,166.5,48.4,161.25,94.25,51.95,75.95,175.3,89.85,24.5,66.5,10.94,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500769,山东状元桥文化传播有限公司,0,0,0,0,0,0,0,671.02,972.16,316.54,245.84,158.76,116.2,179.62,162.96,41.16,59.5,8.4,51.52,11.2,28.7,49.14,19.74,16.1,3.64,26.46,7,4.2,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500768,北京一本通文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500746,北京清北华杰文化科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500770,石家庄朗诚文化传媒有限公司,0,0,0,0,0,0,79.52,69.16,21.28,1.4,9.8,2.8,84.28,174.44,68.6,28.56,15.12,4.2,27.44,2.8,1.4,0,1.4,0,0,5.6,2.66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500745,深圳天骄文化传播有限公司,0,0,0,0,0,757.26,26573.96,11640.3,8265.46,5410.72,16699.41,14932.82,10172.82,7444.4,7371.37,4446.68,11777.14,10573.22,7535.37,4830.29,3559.67,5086.73,13102.18,12350.15,7826.15,3407.14,4312.57,3804.4,10510.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500744,唐山泓延文化传媒有限公司,0,0,0,0,0,0,19.32,10.5,8.4,2.1,2.1,11.2,9.8,16.8,4.9,9.38,2.8,5.6,19.04,4.9,8.68,4.48,17.36,2.8,7.7,2.8,5.6,5.6,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800049,北京科学技术出版社有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500743,西南大学出版社有限公司,0,0,0,0,0,23.52,35.28,16.8,14,11.9,11.9,22.26,18.2,62.3,15.4,19.6,0,8.4,6.3,9.66,4.2,22.4,5.18,5.6,3.36,2.8,6.3,2.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
