店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500738,山西三重图书有限公司,0,0,0,0,0,421.4,72,90,82,375.4,401.4,63,0,18,9,0,54,63,9,18,63,198,27,54,9,0,18,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500726,湖南老唐说题教育咨询有限公司,0,0,0,4228.59,4870.01,1888,1714.1,2292.6,1983.2,1283.6,3074.8,978.2,1886,2325.9,938.92,796.08,508.7,283.4,320.16,137.6,318.2,335.7,565.1,437.2,148.51,206.6,215,142.4,325.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500717,山东甘一文化科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500724,陕西智优文化传媒有限公司,0,0,32,1284.6,1487.6,3533.2,731.6,1081.4,610.4,879.6,668,2932.8,2358.4,1087.3,1408.2,1547,960.2,2327.8,872.5,837.48,711.78,375.4,370.58,627.2,693.7,103.4,381.6,212,231.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800053,大连理工大学出版社有限公司,0,0,0,6250.2,2280.8,586,48,88,28,65,85,158,125,71.4,28,25,0,0,44,0,0,5,0,0,0,0,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500722,江苏华阅万卷教育科技有限公司,0,0,653,993,863.2,666.2,199.4,183.2,480.2,468.8,397.4,401,103.6,177.5,372.8,233.1,601.9,252.2,61,154,296,128.4,78.2,121.7,124.6,46.4,94.8,79.2,80.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500698,武汉智云优鸿科技有限公司,0,0,1108.3,1038.6,1032.3,744.3,1610.2,696.7,925.7,543.3,450.2,291.9,295.3,173.5,156.05,104.25,72.4,133,117.15,82.05,160.45,82.85,117.85,139.2,66.9,174.1,25.5,28.1,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500709,山东普高文化教育有限公司,0,130,399,2878.6,402,68,76,40,2856,3242.6,672.8,277,68.8,87,25.5,50,244,16,42,48,85,40.4,16,79,13.6,16,0,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500696,山东面向未来图书销售有限公司,32,1142.2,3144.8,5549.8,5885.6,14519.72,5285.84,2784.04,4586.9,7286.12,6120.71,17564.28,8954.11,2621.68,5115.04,9773.82,12846.44,30790.26,5982.11,3113.45,3588.61,2736.54,4985.93,16258.48,18594.41,1301.05,1885.93,3033.62,4553.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800011,宁波出版社有限公司,630,260.4,611.6,536.4,4152.6,5423.8,700,321.4,156,51,71.2,80.4,148.2,1115,1247.56,3094.21,3516.6,13362.64,1450.5,843.8,1594.42,1892.2,1503.6,2039.6,2204.72,244.8,332.8,1523.56,1417.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900000,长安学林文具用品经销部,0,0,0,804,779.2,1396.8,369.6,196,323.6,236,270.8,1091.6,1004.4,599.2,600.4,319.8,320.6,2663.2,901.6,559,286.6,180,254,427.8,496.4,240.8,288.4,486,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500109,时代京版（北京）文化传播有限公司,5764.2,4296.6,5142,4096.6,1984.6,1127,1314.8,904,944.4,1861.8,3153,3501.2,1670.6,2381.6,2239.29,1951.2,2978.7,721.9,737.3,271.6,552.6,682.4,489,413.4,429.8,242.47,255,252.6,402.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500243,众相原创文化传播陕西有限公司,6871.8,4434.6,7307.6,4386.6,3698.8,2008.4,1282.2,1327,2662.4,2416,3775.4,4378.8,6028,7144.1,10040.4,6819.08,7069.08,9123.84,3125.84,2009.8,3234.02,2871.2,3013.18,6225.28,6549.5,7727.38,16665.26,13861.68,11192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500546,众望益飞教育科技（北京）有限公司,11048,6130.4,9562.8,7479.6,7200.4,8664.6,6787.81,4608.6,7310,6198,6463,9057,3916.8,2954,6365.02,5354.24,6685.92,3693.5,1689.08,2834.98,7422.5,6674.8,6105.92,9892.4,8898.4,3399.1,7300.4,5208.02,5683.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500547,广州星达数码科技有限公司,1674.34,501.8,964.7,1833.6,2384.9,1453.68,918.4,1034.8,765.3,620,807.9,1237.2,835.64,1709.64,1103.4,1402.9,1952.81,1185.2,918.56,972.74,895.7,889.62,1849.91,1861.74,1316.3,842.8,1846.04,2056.1,1751.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500089,洛阳字里行间文化传播有限公司,2657.8,1529,5725.8,4238.8,5343.6,3161.6,849.4,457.8,495.2,1328.2,735.8,1164.6,686.2,651,1089.8,815.4,931,646.1,251.7,98,199,2485.4,1310.9,2289.5,1031.6,218.4,409.3,169.6,200.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500170,山东一得文化科技有限公司,406,336,102.2,796,790.4,420,437,393,405,1145,690,690,2180,1028,798,660,738,925,690,510,630,1230,450,2610,1315,840,1080,750,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500121,浙江金睿文化传媒有限公司,11026,4262,4550.4,3512.8,3445.6,3016.6,3726,1965,2006.6,2010.6,2129.4,2081.2,1405.4,1181.2,898.72,573.46,531.6,794.88,959.92,471.22,573.4,421.8,467.7,459.3,449.4,156.6,130.6,410.6,108.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500169,合肥市徽文文化传播有限公司,2242.6,1343.8,2894.4,1965.8,3072.6,1772.2,1023.8,1526.8,3128.8,1895.2,1757.4,2479.9,1274.4,1468.4,481,481.2,619.2,561,324.6,389,143.8,295.2,302.8,461.2,201.76,139,272,82.8,150.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500228,辽宁考点文化图书有限公司,0,0,0,7,0,0,6,0,0,0,0,0,1,2,0,0,6,6,2624.4,1301.38,387.8,296.4,181.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500168,梁山学易优文化传媒有限公司,2434.4,1202.2,1724.6,1196.8,937.8,1396,1265,1368.4,1440.8,511.4,699.8,822.6,457,399.6,336.2,180.6,202.9,299,467,305,419.2,206,498.1,776.4,509.8,158.8,298.8,273.8,190.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500545,三圆文化传媒广州有限公司,0,0,0,0,0,1261.4,1346.1,56,234.5,273,1699.1,2410.5,912.2,92,40.5,99.6,193.9,375.8,328.6,103.7,94.9,178.3,245.1,142.5,128,0,3.5,3.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
